time_seconds,temp_c,fan_1_rpm,fan_2_rpm,fan_3_rpm
0,28.0,5880,5880,5280
5,37.5,5880,5880,5280
10,40.5,5880,5880,5280
15,43.5,5880,5880,5280
20,46.0,5880,5880,5280
25,48.75,5880,5880,5280
30,50.75,5880,5880,5280
35,52.5,5880,5880,5280
40,54.25,5880,5880,5280
45,55.5,5880,5880,5280
50,57.0,5880,5880,5280
55,58.5,5880,5880,5280
60,60.0,5880,5880,5280
65,60.5,5880,5880,5280
70,62.25,5880,5880,5280
75,63.0,5880,5880,5280
80,64.25,5880,5880,5280
85,64.75,5880,5880,5280
90,65.5,5880,5880,5280
95,66.25,5880,5880,5280
100,67.25,5880,5880,5280
105,68.0,5880,5880,5280
110,68.25,5880,5880,5280
115,68.75,5880,5880,5280
120,70.0,5880,5880,5280
125,70.5,5880,5880,5280
130,70.5,5880,5880,5280
135,71.5,5880,5880,5280
140,71.5,5880,5880,5280
145,72.0,5880,5880,5280
150,71.75,5880,5880,5280
155,72.0,5880,5880,5280
160,73.0,5880,5880,5280
165,73.5,5880,5880,5280
170,73.5,5880,5880,5280
175,74.0,5880,5880,5280
180,74.0,5880,5880,5280
185,74.25,5880,5880,5280
190,74.75,5880,5880,5280
195,74.75,5880,5880,5280
200,75.0,5880,5880,5280
205,75.25,5880,5880,5280
210,75.25,5880,5880,5280
215,75.75,5880,5880,5280
220,75.75,5880,5880,5280
225,76.0,5880,5880,5280
230,76.0,5880,5880,5280
235,76.0,5880,5880,5280
240,76.25,5880,5880,5280
245,76.25,5880,5880,5280
250,77.0,5880,5880,5280
255,76.75,5880,5880,5280
260,76.75,5880,5880,5280
265,76.75,5880,5880,5280
270,76.75,5880,5880,5280
275,77.25,5880,5880,5280
280,77.25,6240,6240,5280
285,77.75,5880,5880,5280
290,77.0,5880,5880,5280
295,77.25,5880,5880,5280
300,77.5,6120,6240,5280
305,77.75,6240,6240,5280
310,77.0,5880,5880,5280
315,76.75,5880,5880,5280
320,77.5,6240,6120,5280
325,77.5,6240,6240,5280
330,77.5,5880,5880,5280
335,76.75,5880,5880,5280
340,76.75,5880,5880,5280
345,77.25,5880,5880,5280
350,77.25,6240,6240,5280
355,77.0,5880,5880,5280
360,77.25,6240,6120,5280
365,77.25,5880,5880,5280
370,76.75,5880,5880,5280
375,77.25,6120,6120,5280
380,77.0,5880,5880,5280
385,77.0,6240,6120,5280
390,77.5,6240,6240,5280
395,77.25,5880,5880,5280
400,77.5,5880,5880,5280
405,77.25,5880,5880,5280
410,77.0,5880,5880,5280
415,77.25,5880,6120,5280
420,77.0,5880,5880,5280
425,77.0,5880,5880,5280
430,77.0,5880,5880,5280
435,77.0,5880,5880,5280
440,77.0,5880,5880,5280
445,77.75,6240,6240,5280
450,77.25,6120,6120,5280
455,77.25,6120,6120,5280
460,77.25,5880,6000,5280
465,77.5,5880,5880,5280
470,77.0,5880,5880,5280
475,77.5,6240,6120,5280
480,77.0,6120,6120,5280
485,77.25,5880,5880,5280
490,77.5,5880,5880,5280
495,77.5,6240,6240,5280
500,77.0,5880,5880,5280
505,77.25,5880,5880,5280
510,77.25,6240,6120,5280
515,77.25,5880,5880,5280
520,77.25,5880,5880,5280
525,77.0,6240,6120,5280
530,77.25,5880,5880,5280
535,77.5,5880,5880,5280
540,77.0,5880,5880,5280
545,77.75,6000,5880,5280
550,77.75,5880,5880,5280
555,77.5,6240,6240,5280
560,77.5,6240,5880,5280
565,77.25,5880,5880,5280
570,77.5,6120,6120,5280
575,76.75,5880,5880,5280
580,77.5,6240,6240,5280
585,77.5,5880,5880,5280
590,77.25,5880,5880,5280
595,77.0,5880,5880,5280
600,77.5,6240,6120,5280
605,77.25,5880,5880,5280
610,77.25,5880,5880,5280
615,77.75,6240,6240,5280
620,77.25,6240,6120,5280
625,77.0,6120,6120,5280
630,77.25,5880,5880,5280
635,77.25,5880,5880,5280
640,77.0,6240,6240,5280
645,77.25,5880,6000,5280
650,77.0,5880,5880,5280
655,77.0,5880,5880,5280
660,77.25,6240,6240,5280
665,77.5,6240,6240,5280
670,77.0,5880,5880,5280
675,77.0,5880,6000,5280
680,77.0,5880,5880,5280
685,77.25,6240,6120,5280
690,77.25,6240,6120,5280
695,77.25,5880,5880,5280
700,77.5,5880,5880,5280
705,77.25,6000,6120,5280
710,77.25,5880,5880,5280
715,77.25,5880,5880,5280
720,77.5,6240,6120,5280
725,77.5,5880,6000,5280
730,77.5,5880,5880,5280
735,77.75,6240,6240,5280
740,77.0,5880,5880,5280
745,77.25,5880,5880,5280
750,77.25,6120,6120,5280
755,77.0,6240,6120,5280
760,77.0,6120,6240,5280
765,77.25,6240,6120,5280
770,77.0,5880,5880,5280
775,77.0,5880,5880,5280
780,77.5,6240,6240,5280
785,77.0,5880,6000,5280
790,77.25,5880,5880,5280
795,77.5,6120,6240,5280
800,77.5,5880,5880,5280
